date,total_purchase_amount,new_purchase_amount,re_purchase_amount
2026-03-23,9064120.000000,7913120.000000,1151000.000000
2026-03-24,10260000.000000,7781500.000000,2478500.000000
2026-03-25,7883200.000000,5254500.000000,2628700.000000
2026-03-26,4836820.000000,3310320.000000,1526500.000000
2026-03-27,23612600.000000,4389100.000000,19223500.000000
2026-03-28,2213700.000000,2047700.000000,166000.000000
2026-03-29,2161500.000000,2049500.000000,112000.000000
2026-03-30,5324620.000000,4192600.000000,1132020.000000
2026-03-31,4274000.000000,2808500.000000,1465500.000000
2026-04-01,8689140.000000,5752920.000000,2936220.000000
2026-04-02,3521000.000000,2302000.000000,1219000.000000
2026-04-03,6726300.000000,3650800.000000,3075500.000000
2026-04-04,1964800.000000,1579800.000000,385000.000000
2026-04-05,2810000.000000,2403000.000000,407000.000000
2026-04-06,7101600.000000,5227400.000000,1874200.000000
2026-04-07,5776200.000000,4484900.000000,1291300.000000
2026-04-08,9345000.000000,7798500.000000,1546500.000000
2026-04-09,4350900.000000,2254600.000000,2096300.000000
2026-04-10,5653800.000000,4829300.000000,824500.000000
2026-04-11,664100.000000,550000.000000,114100.000000
2026-04-12,2065000.000000,1962500.000000,102500.000000
2026-04-13,6096800.000000,3642600.000000,2454200.000000
2026-04-14,5233500.000000,4036500.000000,1197000.000000
2026-04-15,3368600.000000,2232600.000000,1136000.000000
2026-04-16,3002500.000000,1636500.000000,1366000.000000
2026-04-17,2947300.000000,2193300.000000,754000.000000
2026-04-18,2861800.000000,2433800.000000,428000.000000
