as_of_date,product_id,product_name,brand_score,brand_score_status,confidence,numeric_display_policy,event_freshness_gap_days,basket_freshness_gap_days,status_cap_reason,entry_axis,expansion_axis,convergence_axis,return_axis,basket_axis,basket_top_pair_product_id,reconstruction_level,parity_level,limitation_reason,limitation_reason_detail,reconstructed_product_signal,contribution_share,brand_score_note
2026-04-18,1000000087,백리향 1단 (1호 2호 3호),,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.2485038201962452,0.27738213868511025,0.427261664204492,0.31065694974688807,0.25365853658536586,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.25760859885275383,0.08227018106882288,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000094,매화 3송이 1호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.16186108788756395,0.2562874214007564,0.161074674136616,0.10323070142350553,0.23469387755102042,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.10873358799790231,0.03472528484176638,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000111,매화 3송이 3호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.3208852359596403,0.30306932442442236,0.30687895167109863,0.09763313609467456,0.16853932584269662,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.10481517193862974,0.03347389494199211,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000043,모듬영양찰떡,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.08558124412365992,0.2767786572059919,0.40486881395941593,0.3284037223611674,0.8426966292134831,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.09721121852484223,0.031045487555836627,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000127,흑임자이티,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.10546573453393789,0.1644158182016456,0.08743814502947761,0.20691786644424787,0.8914728682170543,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.09617240762403578,0.030713731701077825,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000042,약식,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.08371760449847966,0.3107777374308895,0.4854866406150312,0.14843921457836667,0.7721518987341772,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.09452104307362133,0.030186350001948723,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000092,일리향 3단,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.07734203607961962,0.20653067239955608,0.1403555364370946,0.08105599387737682,0.379746835443038,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.08265222252503973,0.026395909698504885,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000112,매화 5송이 2호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.07684220613299411,0.1618979074094938,0.08252005935812662,0.1652019463362182,0.21951219512195122,1000000113,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.08107805201914682,0.025893180779013206,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000113,매화 5송이 3호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.08447262441079666,0.20699035081544917,0.07354360682188857,0.1267287862135403,0.18333333333333332,1000000112,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07759401903145861,0.02478051596105542,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000121,깨송편 1kg,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.06621769073235362,0.2031461742707357,0.18291014342487721,0.2211114821994402,0.7878787878787878,1000000045,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07498527640339078,0.023947384888067545,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000044,고구마찰떡,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.06034633864753185,0.22574301047663212,0.27811114654548336,0.33729822993957426,0.8717948717948718,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.07098610023195641,0.022670203345156053,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000110,매화 3송이 2호,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.0513052170772004,0.155867544958705,0.05711309711631774,0.0821917808219178,0.5555555555555556,1000000084,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.05671741625037858,0.01811333987085409,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000084,십리향 1단 (1호 2호 3호),,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.07908415336069927,0.14228575611546665,0.2131080424893167,0.04033042973794406,0.6363636363636364,1000000087,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.04699746184634644,0.015009163952962838,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000035,떡국떡 500g,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.034002723803650166,0.20058222943497608,0.1583334948440104,0.1918835103013164,0.7073170731707317,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.041755437992978275,0.013335065132099361,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000069,설기세트,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.038165304343330805,0.13546776190076454,0.034140744763748794,0.15949893473402418,0.8636363636363636,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.04152619942001819,0.013261855235421319,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000083,백설기,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.0315237574010326,0.22565500811434805,0.06539411845060358,0.319805850502194,0.4444444444444444,1000000121,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.03804469647450834,0.01214999841466957,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000090,일리향 1단 (1호 2호 3호),,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.06018415133321831,0.10582468416780161,0.1278967674860864,0.0234375,0.5357142857142857,1000000091,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.02855584433220835,0.009119627583265304,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000089,백리향 3단,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.023261506705951566,0.41877115875706206,0.06669868755273502,0.17092700357431104,0.11764705882352941,1000000064,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.0280453391984331,0.00895659207133249,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000128,흑임자인절미,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.019246950830977536,0.13004946933649245,0.023245319614371648,0.07372418896626555,0.9615384615384616,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.026493777172696947,0.008461083422299448,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000065,흰인절미,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.014041021479702027,0.15266740385711236,0.04352691171972061,0.41542150709418335,1,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.02379496254460634,0.00759918685086119,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000066,쑥인절미,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.029014059193868312,0.18051496128089686,0.009861877705884536,0.29932327763414024,0.8292682926829268,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.017949772516870834,0.005732460180613873,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000033,가래떡,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.010611362666699951,0.13745114209087086,0.07348420019729274,0.06382978723404255,0.7272727272727273,1000000035,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.016687257983469754,0.0053292620741551035,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000156,기원상,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.012934400326602926,0.18521217740072787,0.07383125731099405,0.14084507042253522,0.21153846153846154,1000000153,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.016680568528598855,0.0053271257220848245,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000071,마스코바도 호박설기,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.008023637265913586,0.11863899551637731,0.033592521059507705,0.30265049876626865,0.9,1000000064,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.01620107118156199,0.005173992892907444,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000143,"경기참기름, 경기들기름",,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.00839022366002394,0.11933617996700802,0.015200660281865012,0.12177161221123269,0.8888888888888888,1000000043,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.015311749050078052,0.004889977944992157,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000153,유밀상,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.008944770091401405,0.12474474732117659,0.08137758836035486,0.05454545454545454,0.5185185185185185,1000000156,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.01367355656442284,0.004366802891749952,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000154,화연상,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.005914762253137116,0.11684975506033066,0.009286984067250375,0.10526315789473684,0.6,1000000153,reconstructed_with_limitations,high,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010938650208789846,0.0034933800243214888,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000027,마스코바도 설기,,limited,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.002602149189876151,0.11500782761547278,0.04417658936191286,0.11764705882352941,1,1000000071,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010278750939820898,0.0032826338280103526,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000070,마스코바도 쑥설기,,limited,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.003659877245882678,0.10126468336408205,0.012836562375736413,0.1291641369439822,0.8461538461538461,1000000064,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.010218351882383854,0.003263344714937803,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000028,마스코바도 딸기설기,,limited,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.00222072661125578,0.060067608117438574,0.03166773224298391,0.15323369417713925,1,1000000045,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.009703865178148684,0.003099037644042538,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000142,경기 미숫가루,,limited,Medium,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0.009827090661355396,0.14280735956123078,0.01415667964905933,0,0.8571428571428571,1000000045,reconstructed_with_limitations,medium,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,raw basket detail과의 유사도가 낮습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,0.006143603922087015,0.001962028477838701,제한 반영: 이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음
2026-04-18,1000000074,경기 콩약과(10ea),,unavailable,Low,hide,27,0,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,0,0,0,0,0,,insufficient_reconstruction,low,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음 외 1건,상품 단위 핵심 축이 모두 재구성되지 않았습니다. | event freshness가 7일을 초과합니다. | basket parity가 낮습니다.,,0,상품별 최종 점수는 아직 산출하지 못했습니다.
